airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-18,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,6478
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,08:15:00,945,1,In-flight meal not included,8586
Vistara,2019-06-01,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6741
Multiple Carriers,2019-06-03,Delhi,Cochin,09:45:00,22:30:00,765,1,No Info,9646
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,16:20:00,590,1,No Info,14571
Air India,2019-05-03,Mumbai,Hyderabad,15:00:00,16:25:00,85,0,No Info,3100
Jet Airways,2019-06-27,Delhi,Cochin,10:00:00,19:00:00,540,1,In-flight meal not included,10262
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,590,1,In-flight meal not included,10844
Jet Airways,2019-05-21,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,7229
Air India,2019-04-01,Kolkata,Banglore,20:30:00,12:00:00,930,1,No Info,7893
Indigo,2019-05-03,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3858
Air India,2019-03-03,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,7931
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,1210,2,No Info,11774
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,09:20:00,800,1,In-flight meal not included,9663
Goair,2019-06-03,Delhi,Cochin,07:00:00,12:55:00,355,1,No Info,4959
Jet Airways,2019-03-01,Banglore,Delhi,05:45:00,10:45:00,300,1,No Info,52229
Indigo,2019-03-06,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,5618
Spicejet,2019-05-24,Kolkata,Banglore,11:35:00,18:50:00,435,1,No Info,8479
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,19:25:00,710,1,No Info,6785
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,09:45:00,1450,1,No Info,14151
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,19:00:00,360,1,In-flight meal not included,10262
Indigo,2019-04-27,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4804
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,04:40:00,450,1,No Info,14178
Jet Airways,2019-06-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Indigo,2019-03-21,Delhi,Cochin,14:20:00,22:20:00,480,1,No Info,6528
Vistara,2019-04-01,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,5403
Indigo,2019-06-06,Kolkata,Banglore,09:35:00,12:10:00,155,0,No Info,4804
Vistara,2019-03-21,Banglore,Delhi,06:40:00,21:55:00,915,1,No Info,6065
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,04:25:00,655,1,In-flight meal not included,10262
Jet Airways,2019-04-01,Banglore,Delhi,18:55:00,22:00:00,185,0,In-flight meal not included,4544
Multiple Carriers,2019-06-06,Delhi,Cochin,07:30:00,19:00:00,690,1,No Info,12524
Jet Airways,2019-06-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,No Info,5678
Multiple Carriers,2019-03-21,Delhi,Cochin,08:25:00,18:50:00,625,1,No Info,13069
Goair,2019-04-24,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,4692
Indigo,2019-04-24,Delhi,Cochin,04:55:00,21:00:00,965,1,No Info,6162
Air India,2019-06-27,Delhi,Cochin,17:40:00,23:00:00,320,1,No Info,7174
Spicejet,2019-03-18,Banglore,Delhi,05:45:00,08:35:00,170,0,No check-in baggage included,4273
Multiple Carriers,2019-06-27,Delhi,Cochin,11:30:00,19:15:00,465,1,No Info,14848
Spicejet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,135,0,No check-in baggage included,3807
Jet Airways,2019-04-01,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,7229
Jet Airways,2019-03-06,Mumbai,Hyderabad,14:00:00,16:50:00,1610,1,No Info,19595
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,23:25:00,1625,1,No Info,8085
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,485,2,No Info,11360
Indigo,2019-04-03,Banglore,Delhi,00:30:00,03:25:00,175,0,No Info,3419
Jet Airways,2019-06-09,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,8016
Indigo,2019-04-06,Banglore,Delhi,04:00:00,06:50:00,170,0,No Info,4423
Air India,2019-05-27,Delhi,Cochin,09:45:00,23:00:00,795,1,No Info,8907
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,01:35:00,755,1,No Info,6673
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,18:15:00,1400,1,In-flight meal not included,10844
Vistara,2019-06-09,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6216
Air India,2019-05-09,Delhi,Cochin,20:40:00,09:25:00,765,1,No Info,7480
Jet Airways,2019-06-12,Delhi,Cochin,12:15:00,04:25:00,970,2,No Info,14300
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,10262
Multiple Carriers,2019-05-27,Delhi,Cochin,06:00:00,19:00:00,780,1,No Info,11264
Jet Airways,2019-05-09,Delhi,Cochin,02:15:00,04:25:00,1570,1,In-flight meal not included,12373
Indigo,2019-06-06,Delhi,Cochin,07:30:00,21:00:00,810,1,No Info,6093
Spicejet,2019-03-18,Mumbai,Hyderabad,05:45:00,07:05:00,80,0,No check-in baggage included,2385
Air India,2019-03-24,Banglore,Delhi,06:10:00,08:55:00,165,0,No Info,3758
Jet Airways,2019-03-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,14:25:00,1285,1,In-flight meal not included,9314
Multiple Carriers,2019-05-18,Delhi,Cochin,12:50:00,01:30:00,760,1,No Info,7670
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2,No Info,11642
Air India,2019-05-18,Kolkata,Banglore,09:25:00,07:55:00,1350,1,No Info,8366
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,12898
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,04:40:00,450,1,In-flight meal not included,8586
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,19:50:00,800,1,No Info,14571
Multiple Carriers,2019-05-27,Delhi,Cochin,07:00:00,21:00:00,840,1,No Info,7618
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,22:30:00,925,1,No Info,9646
Goair,2019-05-21,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,5048
Indigo,2019-06-27,Delhi,Cochin,17:30:00,01:30:00,480,1,No Info,5684
Air India,2019-06-27,Delhi,Cochin,16:55:00,19:15:00,1580,2,No Info,13591
Jet Airways,2019-06-24,Mumbai,Hyderabad,08:45:00,10:15:00,90,0,In-flight meal not included,4995
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,10:05:00,910,1,In-flight meal not included,9663
Vistara,2019-05-15,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2,No Info,12347
Air Asia,2019-05-09,Delhi,Cochin,20:45:00,07:10:00,625,1,No Info,6751
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,12:35:00,1615,2,In-flight meal not included,10368
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,23:35:00,1720,1,In-flight meal not included,8529
Indigo,2019-03-03,Banglore,Delhi,19:35:00,00:35:00,300,1,No Info,13292
Indigo,2019-06-24,Delhi,Cochin,17:05:00,22:15:00,310,1,No Info,6147
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,12:35:00,810,2,No Info,15129
Air India,2019-03-12,Mumbai,Hyderabad,01:35:00,14:50:00,795,2,No Info,9977
Air India,2019-05-27,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,5228
Air India,2019-03-21,Kolkata,Banglore,20:45:00,23:20:00,155,0,No Info,4435
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2,No Info,13014
Jet Airways,2019-03-09,Banglore,Delhi,09:45:00,00:30:00,885,1,In-flight meal not included,10562
Air India,2019-03-15,Banglore,Delhi,05:50:00,22:10:00,980,2,No Info,10111
Goair,2019-06-01,Delhi,Cochin,14:25:00,19:35:00,310,1,No Info,10651
Air India,2019-06-09,Kolkata,Banglore,12:00:00,11:10:00,1390,2,No Info,10151
Jet Airways,2019-03-09,Delhi,Cochin,18:15:00,18:50:00,1475,1,No Info,16289
Jet Airways,2019-03-27,Delhi,Cochin,17:35:00,04:25:00,650,2,In-flight meal not included,9412
Spicejet,2019-03-15,Kolkata,Banglore,22:20:00,00:40:00,140,0,No check-in baggage included,3815
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,01:30:00,930,1,No Info,8073
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,20:45:00,740,1,In-flight meal not included,10844
Indigo,2019-05-12,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,6015
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,18:00:00,1295,1,In-flight meal not included,9314
Air Asia,2019-06-03,Delhi,Cochin,16:45:00,22:25:00,340,1,No Info,11410
Indigo,2019-04-21,Banglore,Delhi,01:30:00,04:15:00,165,0,No Info,4591
Spicejet,2019-03-27,Kolkata,Banglore,09:00:00,11:30:00,150,0,No check-in baggage included,3815
Multiple Carriers,2019-05-18,Delhi,Cochin,07:10:00,22:30:00,920,1,No Info,7740
Air India,2019-03-21,Delhi,Cochin,18:30:00,19:15:00,1485,2,No Info,10703
Air India,2019-05-15,Delhi,Cochin,13:05:00,09:25:00,1220,2,No Info,10975
Air India,2019-03-06,Mumbai,Hyderabad,12:45:00,19:25:00,1840,2,No Info,13253
Air Asia,2019-04-21,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,5645
Indigo,2019-06-03,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,5644
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2,In-flight meal not included,11150
Indigo,2019-03-27,Delhi,Cochin,02:35:00,08:30:00,355,1,No Info,7731
Indigo,2019-03-03,Delhi,Cochin,07:35:00,12:00:00,265,1,No Info,8258
Air India,2019-06-01,Delhi,Cochin,21:00:00,19:15:00,1335,1,No Info,8582
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,20:20:00,790,1,No Info,8610
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,20:45:00,1485,1,No Info,14388
Jet Airways,2019-03-21,Delhi,Cochin,16:00:00,18:50:00,1610,1,No Info,12557
Indigo,2019-03-18,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,3850
Multiple Carriers,2019-06-12,Delhi,Cochin,14:00:00,21:00:00,420,1,No Info,13587
Air India,2019-06-01,Delhi,Cochin,12:30:00,09:25:00,1255,1,No Info,7480
Multiple Carriers,2019-03-09,Delhi,Cochin,00:20:00,07:40:00,440,1,In-flight meal not included,13977
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,19:00:00,300,1,In-flight meal not included,10262
Jet Airways,2019-05-09,Delhi,Cochin,20:00:00,04:25:00,505,2,No Info,16263
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,19:50:00,1430,1,In-flight meal not included,10844
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,12:35:00,1595,1,In-flight meal not included,10262
Jet Airways,2019-06-21,Mumbai,Hyderabad,08:45:00,10:15:00,90,0,In-flight meal not included,4995
Air India,2019-03-01,Banglore,Delhi,05:50:00,22:10:00,980,2,No Info,13576
Air India,2019-03-18,Banglore,Delhi,08:50:00,10:35:00,1545,2,No Info,11885
Indigo,2019-06-03,Mumbai,Hyderabad,01:40:00,03:10:00,90,0,No Info,2754
Indigo,2019-04-18,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4174
Air India,2019-05-24,Kolkata,Banglore,09:25:00,05:25:00,1200,2,No Info,14897
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,04:45:00,540,1,In-flight meal not included,10031
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,13587
Indigo,2019-03-21,Delhi,Cochin,06:40:00,12:00:00,320,1,No Info,5761
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,19:00:00,1210,1,In-flight meal not included,10262
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,18:00:00,1295,1,In-flight meal not included,10539
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,20:45:00,400,1,In-flight meal not included,9663
Air India,2019-05-01,Kolkata,Banglore,05:50:00,13:15:00,445,2,No Info,7662
Jet Airways,2019-06-01,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,7229
Indigo,2019-06-27,Delhi,Cochin,08:35:00,22:30:00,835,1,No Info,6442
Air India,2019-03-03,Banglore,Delhi,11:05:00,22:10:00,2105,2,No Info,11948
Air India,2019-05-15,Kolkata,Banglore,09:25:00,18:30:00,545,1,No Info,8891
Jet Airways,2019-06-09,Delhi,Cochin,08:00:00,19:00:00,660,1,In-flight meal not included,10262
Indigo,2019-06-21,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,5000
Goair,2019-03-01,Banglore,Delhi,15:45:00,20:15:00,270,1,No Info,12314
Jet Airways,2019-06-06,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,7202
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,23:25:00,1660,1,In-flight meal not included,10031
Multiple Carriers,2019-05-15,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,14533
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,14:25:00,1080,1,No Info,13067
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,6883
Indigo,2019-05-09,Delhi,Cochin,08:35:00,22:30:00,835,1,No Info,6734
Spicejet,2019-05-03,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,4423
Air India,2019-03-27,Delhi,Cochin,17:40:00,08:15:00,875,1,No Info,5998
Goair,2019-03-03,Banglore,Delhi,11:40:00,14:35:00,175,0,No Info,7646
Air India,2019-06-12,Delhi,Cochin,12:20:00,19:15:00,1855,2,No Info,12488
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,14:25:00,1730,1,In-flight meal not included,9314
Air Asia,2019-06-27,Banglore,Delhi,23:55:00,02:45:00,170,0,No Info,3383
Indigo,2019-03-03,Kolkata,Banglore,05:30:00,08:20:00,170,0,No Info,4778
Indigo,2019-05-27,Delhi,Cochin,15:10:00,20:00:00,290,1,No Info,5912
Multiple Carriers,2019-05-09,Delhi,Cochin,08:30:00,19:15:00,645,1,No Info,8099
Indigo,2019-05-03,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,4591
Air India,2019-05-06,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,11701
Spicejet,2019-03-27,Chennai,Kolkata,08:20:00,10:35:00,135,0,No Info,3384
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,01:30:00,840,1,No Info,15078
Air India,2019-03-03,Delhi,Cochin,12:30:00,09:25:00,1255,1,No Info,16142
Goair,2019-05-24,Kolkata,Banglore,16:40:00,00:15:00,455,1,No Info,8855
Indigo,2019-03-15,Banglore,Delhi,13:00:00,15:50:00,170,0,No Info,6144
Air India,2019-04-09,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,6377
Indigo,2019-04-15,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4823
Indigo,2019-05-15,Delhi,Cochin,05:05:00,16:10:00,665,1,No Info,6818
Spicejet,2019-04-24,Delhi,Cochin,08:45:00,13:15:00,270,1,No Info,4812
Indigo,2019-06-06,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,12:00:00,960,1,In-flight meal not included,9663
Air India,2019-06-06,Delhi,Cochin,09:45:00,09:25:00,1420,1,No Info,7952
Air India,2019-05-09,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,No Info,3100
Air India,2019-03-09,Banglore,Delhi,17:00:00,03:40:00,640,1,No Info,8767
Jet Airways,2019-03-18,Banglore,Delhi,22:50:00,09:30:00,640,1,No Info,13555
Spicejet,2019-06-06,Kolkata,Banglore,11:15:00,18:30:00,435,1,No Info,10156
Jet Airways,2019-03-27,Delhi,Cochin,19:45:00,19:45:00,1440,1,In-flight meal not included,5963
Spicejet,2019-03-09,Kolkata,Banglore,09:00:00,11:30:00,150,0,No Info,5515
Multiple Carriers,2019-06-01,Delhi,Cochin,13:15:00,22:30:00,555,1,No Info,9646
Air India,2019-05-06,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No Info,3625
Indigo,2019-03-06,Mumbai,Hyderabad,21:20:00,22:45:00,85,0,No Info,4784
Indigo,2019-05-12,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No Info,4049
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,22:55:00,945,1,No Info,8295
Indigo,2019-06-03,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Jet Airways,2019-03-12,Banglore,Delhi,18:55:00,13:15:00,1100,1,No Info,13817
Vistara,2019-03-24,Banglore,Delhi,16:00:00,18:35:00,155,0,No Info,11913
Indigo,2019-05-03,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4804
Multiple Carriers,2019-05-18,Delhi,Cochin,17:50:00,01:30:00,460,2,No Info,19360
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,04:40:00,585,1,No Info,13731
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,10:05:00,1055,1,In-flight meal not included,8529
Air India,2019-04-03,Kolkata,Banglore,20:45:00,23:20:00,155,0,No Info,4460
Air India,2019-06-27,Delhi,Cochin,10:55:00,19:15:00,500,2,No Info,11753
Jet Airways,2019-05-09,Delhi,Cochin,11:30:00,19:00:00,450,1,In-flight meal not included,12373
Jet Airways,2019-05-06,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Indigo,2019-03-15,Kolkata,Banglore,09:35:00,12:20:00,165,0,No Info,4148
Jet Airways,2019-06-06,Delhi,Cochin,10:00:00,19:00:00,540,1,No Info,14714
Jet Airways,2019-06-24,Delhi,Cochin,19:15:00,19:00:00,1425,1,In-flight meal not included,10262
Indigo,2019-05-18,Delhi,Cochin,02:00:00,07:25:00,325,1,No Info,7464
Multiple Carriers,2019-06-09,Delhi,Cochin,10:35:00,19:00:00,505,1,No Info,11098
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,22:35:00,365,1,No Info,14571
Jet Airways,2019-03-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No Info,5678
Air India,2019-05-12,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,6121
Indigo,2019-03-15,Banglore,Delhi,08:30:00,11:30:00,180,0,No Info,6860
Multiple Carriers,2019-06-24,Delhi,Cochin,07:05:00,19:15:00,730,1,No Info,15058
Air Asia,2019-04-21,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,22:35:00,1595,1,In-flight meal not included,7064
Jet Airways,2019-06-03,Delhi,Cochin,09:35:00,12:35:00,1620,2,In-flight meal not included,11507
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1,No Info,14714
Jet Airways,2019-06-24,Delhi,Cochin,07:05:00,19:00:00,715,1,No Info,18581
Multiple Carriers,2019-06-09,Delhi,Cochin,04:55:00,12:35:00,460,1,No Info,10877
Indigo,2019-03-06,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,7673
Multiple Carriers,2019-05-09,Delhi,Cochin,08:30:00,19:00:00,630,1,No Info,9627
Air India,2019-05-15,Delhi,Cochin,18:05:00,21:10:00,185,0,No Info,6094
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,19:00:00,1270,1,In-flight meal not included,12898
Jet Airways,2019-06-27,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,6478
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,08:15:00,1090,1,No Info,13044
Indigo,2019-05-21,Delhi,Cochin,10:35:00,21:00:00,625,1,No Info,6794
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,19:00:00,560,2,In-flight meal not included,13029
Indigo,2019-03-21,Delhi,Cochin,07:30:00,21:00:00,810,1,No Info,8784
Multiple Carriers,2019-06-27,Delhi,Cochin,07:30:00,19:00:00,690,1,No Info,10877
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2,In-flight meal not included,11507
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,23:35:00,1720,1,No Info,12681
Indigo,2019-04-27,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,09:30:00,1310,1,In-flight meal not included,11087
Spicejet,2019-03-27,Kolkata,Banglore,17:15:00,19:45:00,150,0,No check-in baggage included,3815
Air India,2019-05-12,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,6094
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,18:50:00,995,1,In-flight meal not included,7438
Multiple Carriers,2019-06-01,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,7530
Air India,2019-05-15,Kolkata,Banglore,09:25:00,05:25:00,1200,2,No Info,14687
Spicejet,2019-04-01,Kolkata,Banglore,06:55:00,09:30:00,155,0,No Info,3873
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,15:30:00,505,1,No Info,17267
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,19:00:00,1395,1,In-flight meal not included,12898
Indigo,2019-03-06,Delhi,Cochin,17:10:00,01:35:00,505,1,No Info,14871
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,08:15:00,1090,1,No Info,14388
Indigo,2019-06-12,Delhi,Cochin,04:55:00,21:00:00,965,1,No Info,5894
Multiple Carriers,2019-03-06,Delhi,Cochin,07:00:00,21:00:00,840,1,No Info,15603
Indigo,2019-06-27,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,5894
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1,In-flight meal not included,10844
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,16:20:00,590,1,No Info,14571
Goair,2019-03-06,Delhi,Cochin,14:10:00,19:20:00,310,1,No Info,19495
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,04:25:00,745,1,No Info,14714
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,20:45:00,740,1,No Info,14781
Multiple Carriers,2019-06-09,Delhi,Cochin,09:45:00,22:30:00,765,1,No Info,9646
Jet Airways,2019-03-01,Banglore,Delhi,05:45:00,11:25:00,340,1,Business class,79512
Spicejet,2019-05-12,Kolkata,Banglore,15:05:00,20:20:00,315,1,No Info,4649
Air India,2019-05-15,Delhi,Cochin,17:15:00,07:40:00,865,2,No Info,13039
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1,No Info,12692
Air India,2019-03-06,Delhi,Cochin,04:00:00,07:40:00,1660,1,No Info,12940
Spicejet,2019-05-15,Kolkata,Banglore,08:35:00,17:15:00,520,1,No Info,6381
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,04:25:00,1125,2,In-flight meal not included,13029
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,09:20:00,1010,1,In-flight meal not included,9663
Air India,2019-05-06,Kolkata,Banglore,05:50:00,20:25:00,875,2,No Info,10991
Multiple Carriers,2019-06-27,Delhi,Cochin,09:45:00,22:30:00,765,1,No Info,9646
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,01:30:00,840,1,In-flight meal not included,6733
Indigo,2019-06-27,Banglore,Delhi,04:00:00,06:50:00,170,0,No Info,3943
Jet Airways,2019-03-01,Banglore,Delhi,14:05:00,19:10:00,305,1,No Info,36235
Vistara,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,11982
Indigo,2019-05-09,Kolkata,Banglore,07:10:00,12:40:00,330,1,No Info,4864
Goair,2019-04-18,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,4937
Air India,2019-05-21,Delhi,Cochin,18:45:00,19:15:00,1470,2,No Info,12257
Air India,2019-06-09,Delhi,Cochin,09:45:00,23:00:00,795,1,No Info,8907
Multiple Carriers,2019-06-09,Delhi,Cochin,18:15:00,01:30:00,435,1,No Info,13587
Indigo,2019-06-24,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Vistara,2019-05-03,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,5613
Spicejet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No Info,2227
Multiple Carriers,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1,In-flight meal not included,7308
Spicejet,2019-04-21,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,5583
Jet Airways,2019-06-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,4050
Spicejet,2019-04-01,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3919
Indigo,2019-05-15,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Indigo,2019-04-21,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:15:00,600,1,No Info,8099
Spicejet,2019-04-15,Kolkata,Banglore,15:05:00,20:20:00,315,1,No Info,4649
Air India,2019-06-09,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,6961
Spicejet,2019-04-15,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,4319
Indigo,2019-03-21,Banglore,Delhi,11:20:00,15:25:00,245,1,No Info,5746
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0,No check-in baggage included,3807
Multiple Carriers,2019-05-27,Delhi,Cochin,07:10:00,16:10:00,540,1,No Info,7878
Spicejet,2019-03-01,Kolkata,Banglore,06:55:00,09:35:00,160,0,No Info,4622
Multiple Carriers,2019-06-03,Delhi,Cochin,15:15:00,01:30:00,615,1,No Info,6795
Jet Airways,2019-03-03,Delhi,Cochin,20:50:00,04:25:00,455,1,No Info,17234
Multiple Carriers,2019-03-27,Delhi,Cochin,09:00:00,15:30:00,390,1,No Info,6673
Multiple Carriers,2019-06-09,Delhi,Cochin,11:35:00,01:30:00,835,3,No Info,15419
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,10:45:00,865,1,No Info,9187
Air India,2019-06-15,Delhi,Cochin,05:55:00,19:15:00,800,2,No Info,12646
Indigo,2019-05-24,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Indigo,2019-03-15,Kolkata,Banglore,05:30:00,08:20:00,170,0,No Info,4148
Air Asia,2019-03-24,Banglore,Delhi,05:50:00,08:40:00,170,0,No Info,4284
Jet Airways,2019-03-15,Banglore,Delhi,08:00:00,18:25:00,625,1,In-flight meal not included,9134
Goair,2019-03-03,Banglore,Delhi,07:45:00,10:40:00,175,0,No Info,7222
Indigo,2019-05-21,Delhi,Cochin,07:35:00,12:10:00,275,1,No Info,5054
Multiple Carriers,2019-06-24,Delhi,Cochin,08:30:00,19:15:00,645,1,No Info,7354
Air India,2019-05-01,Kolkata,Banglore,10:00:00,16:15:00,375,1,No Info,10203
Indigo,2019-06-12,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,3850
